DISEASE;GENDER;AGE;NUMBER OF DEATHS
All causes;Both;All ages;424523
All causes;Males;All ages;214236
All causes;Females;All ages;210287
All causes;Both;0 to 1;1092
All causes;Males;0 to 1;619
All causes;Females;0 to 1;473
All causes;Both;1 to 4;226
All causes;Males;1 to 4;138
All causes;Females;1 to 4;88
All causes;Both;5 to 9;178
All causes;Males;5 to 9;96
All causes;Females;5 to 9;82
All causes;Both;10 to 14;202
All causes;Males;10 to 14;104
All causes;Females;10 to 14;98
All causes;Both;15 to 19;396
All causes;Males;15 to 19;262
All causes;Females;15 to 19;134
All causes;Both;20 to 24;595
All causes;Males;20 to 24;408
All causes;Females;20 to 24;187
All causes;Both;25 to 29;834
All causes;Males;25 to 29;585
All causes;Females;25 to 29;249
All causes;Both;30 to 34;1132
All causes;Males;30 to 34;789
All causes;Females;30 to 34;343
All causes;Both;35 to 39;2082
All causes;Males;35 to 39;1346
All causes;Females;35 to 39;736
All causes;Both;40 to 44;3484
All causes;Males;40 to 44;2219
All causes;Females;40 to 44;1265
All causes;Both;45 to 49;6057
All causes;Males;45 to 49;3904
All causes;Females;45 to 49;2153
All causes;Both;50 to 54;10103
All causes;Males;50 to 54;6698
All causes;Females;50 to 54;3405
All causes;Both;55 to 59;14428
All causes;Males;55 to 59;9711
All causes;Females;55 to 59;4717
All causes;Both;60 to 64;18187
All causes;Males;60 to 64;12385
All causes;Females;60 to 64;5802
All causes;Both;65 to 69;24497
All causes;Males;65 to 69;16794
All causes;Females;65 to 69;7703
All causes;Both;70 to 74;33020
All causes;Males;70 to 74;21740
All causes;Females;70 to 74;11280
All causes;Both;75 to 79;40776
All causes;Males;75 to 79;24629
All causes;Females;75 to 79;16147
All causes;Both;80 to 84;72688
All causes;Males;80 to 84;38414
All causes;Females;80 to 84;34274
All causes;Both;85 to 89;91326
All causes;Males;85 to 89;40397
All causes;Females;85 to 89;50929
All causes;Both;90 to 94;70918
All causes;Males;90 to 94;24811
All causes;Females;90 to 94;46107
All causes;Both;95 or more;32302
All causes;Males;95 or more;8187
All causes;Females;95 or more;24115
Cancer;Both;All ages;113266
Cancer;Males;All ages;68508
Cancer;Females;All ages;44758
Cancer;Both;0 to 1;9
Cancer;Males;0 to 1;2
Cancer;Females;0 to 1;7
Cancer;Both;1 to 4;43
Cancer;Males;1 to 4;21
Cancer;Females;1 to 4;22
Cancer;Both;5 to 9;80
Cancer;Males;5 to 9;42
Cancer;Females;5 to 9;38
Cancer;Both;10 to 14;60
Cancer;Males;10 to 14;31
Cancer;Females;10 to 14;29
Cancer;Both;15 to 19;72
Cancer;Males;15 to 19;42
Cancer;Females;15 to 19;30
Cancer;Both;20 to 24;93
Cancer;Males;20 to 24;63
Cancer;Females;20 to 24;30
Cancer;Both;25 to 29;150
Cancer;Males;25 to 29;84
Cancer;Females;25 to 29;66
Cancer;Both;30 to 34;245
Cancer;Males;30 to 34;117
Cancer;Females;30 to 34;128
Cancer;Both;35 to 39;639
Cancer;Males;35 to 39;284
Cancer;Females;35 to 39;355
Cancer;Both;40 to 44;1163
Cancer;Males;40 to 44;512
Cancer;Females;40 to 44;651
Cancer;Both;45 to 49;2464
Cancer;Males;45 to 49;1229
Cancer;Females;45 to 49;1235
Cancer;Both;50 to 54;4716
Cancer;Males;50 to 54;2697
Cancer;Females;50 to 54;2019
Cancer;Both;55 to 59;7566
Cancer;Males;55 to 59;4638
Cancer;Females;55 to 59;2928
Cancer;Both;60 to 64;9508
Cancer;Males;60 to 64;6173
Cancer;Females;60 to 64;3335
Cancer;Both;65 to 69;12350
Cancer;Males;65 to 69;8367
Cancer;Females;65 to 69;3983
Cancer;Both;70 to 74;14637
Cancer;Males;70 to 74;9830
Cancer;Females;70 to 74;4807
Cancer;Both;75 to 79;14260
Cancer;Males;75 to 79;9279
Cancer;Females;75 to 79;4981
Cancer;Both;80 to 84;18823
Cancer;Males;80 to 84;11402
Cancer;Females;80 to 84;7421
Cancer;Both;85 to 89;16043
Cancer;Males;85 to 89;8856
Cancer;Females;85 to 89;7187
Cancer;Both;90 to 94;8060
Cancer;Males;90 to 94;3962
Cancer;Females;90 to 94;4098
Cancer;Both;95 or more;2285
Cancer;Males;95 or more;877
Cancer;Females;95 or more;1408
Diseases of the circulatory system;Both;All ages;95528
Diseases of the circulatory system;Males;All ages;44624
Diseases of the circulatory system;Females;All ages;50904
